indicator_type,indicator,action,confidence,comments
IP,5.188.218.0/23,Prevent,100,Custom IOC
IP,23.227.196.88,Prevent,100,Custom IOC
IP,23.227.203.36,Prevent,100,Custom IOC
IP,31.134.0.0/20,Prevent,100,Custom IOC
IP,37.9.40.0/21,Prevent,100,Custom IOC
IP,37.19.205.180,Prevent,100,Custom IOC
IP,38.180.54.104,Prevent,100,Custom IOC
IP,38.180.54.168,Prevent,100,Custom IOC
IP,45.135.1.0/24,Prevent,100,Custom IOC
IP,45.135.2.0/23,Prevent,100,Custom IOC
IP,45.155.166.0/23,Prevent,100,Custom IOC
IP,46.59.10.72,Prevent,100,Custom IOC
IP,46.183.221.194,Prevent,100,Custom IOC
IP,46.183.221.197,Prevent,100,Custom IOC
IP,61.92.2.219,Prevent,100,Custom IOC
IP,64.176.196.84,Prevent,100,Custom IOC
IP,68.183.56.130,Prevent,100,Custom IOC
IP,82.180.133.120,Prevent,100,Custom IOC
IP,85.239.42.0/23,Prevent,100,Custom IOC
IP,87.206.110.89,Prevent,100,Custom IOC
IP,88.218.44.0/24,Prevent,100,Custom IOC
IP,91.132.198.0/24,Prevent,100,Custom IOC
IP,91.218.122.0/23,Prevent,100,Custom IOC
IP,91.245.236.0/24,Prevent,100,Custom IOC
IP,103.61.139.226,Prevent,100,Custom IOC
IP,104.207.149.95,Prevent,100,Custom IOC
IP,109.134.69.241,Prevent,100,Custom IOC
IP,112.163.100.151,Prevent,100,Custom IOC
IP,132.147.86.201,Prevent,100,Custom IOC
IP,146.70.205.62,Prevent,100,Custom IOC
IP,146.70.205.188,Prevent,100,Custom IOC
IP,146.185.207.0/24,Prevent,100,Custom IOC
IP,149.88.22.67,Prevent,100,Custom IOC
IP,154.47.23.111,Prevent,100,Custom IOC
IP,156.146.56.136,Prevent,100,Custom IOC
IP,158.62.16.45,Prevent,100,Custom IOC
IP,162.158.162.254,Prevent,100,Custom IOC
IP,167.61.244.201,Prevent,100,Custom IOC
IP,167.99.112.236,Prevent,100,Custom IOC
IP,178.236.234.123,Prevent,100,Custom IOC
IP,183.96.10.14,Prevent,100,Custom IOC
IP,185.213.20.20,Prevent,100,Custom IOC
IP,185.217.0.242,Prevent,100,Custom IOC
IP,192.71.26.106,Prevent,100,Custom IOC
IP,193.233.128.0/22,Prevent,100,Custom IOC
IP,193.233.216.0/21,Prevent,100,Custom IOC
IP,195.14.123.132,Prevent,100,Custom IOC
IP,198.44.211.76,Prevent,100,Custom IOC
IP,203.160.68.12,Prevent,100,Custom IOC
IP,217.145.225.0/24,Prevent,100,Custom IOC
IP,221.154.174.74,Prevent,100,Custom IOC
